Frequency,Surprisingness_I,Surprisingness_II,II_Surprisingness_b, max_b_subpattern_num
2,281,0,1,0
2,281,0,1,0
2,281,0,1,0
2,281,0,1,0
2,187,0,1,0
2,187,0,1,0
2,93,0,1,0
2,93,0,1,0
2,34.25,0,1,0
4,17.8,0,1,0
15,15.5882,0,1,0
14,15.5882,0,1,0
2,15.5882,0,1,0
2,15.5882,0,1,0
2,15.5882,0,1,0
14,14.4824,0,1,0
14,14.4824,0,1,0
2,11.5333,0,1,0
2,11.5333,0,1,0
2,11.5333,0,1,0
2,10.28,0,1,0
4,10.28,0,1,0
2,10.28,0,1,0
3,10.28,0,1,0
2,10.28,0,1,0
4,10.28,0,1,0
2,10.28,0,1,0
4,9.84615,0,1,0
2,9.84615,0,1,0
2,9.84615,0,1,0
14,9.528,0,1,0
14,9.528,0,1,0
14,9.528,0,1,0
14,9.528,0,1,0
14,9.528,0,1,0
14,9.12308,0,1,0
14,9.12308,0,1,0
14,9.12308,0,1,0
4,8.4,0,1,0
4,8.4,0,1,0
2,8.4,0,1,0
2,8.4,0,1,0
2,8.4,0,1,0
17,8.4,0,1,0
15,8.4,0,1,0
14,8.4,0,1,0
4,8.4,0,1,0
4,8.4,0,1,0
4,8.4,0,1,0
14,8.4,0,1,0
3,8.4,0,1,0
7,8.4,0,1,0
3,8.4,0,1,0
5,8.4,0,1,0
2,8.4,0,1,0
14,8.28941,0,1,0
14,8.28941,0,1,0
2,8.09677,0,1,0
15,8.09677,0,1,0
4,8.09677,0,1,0
2,8.09677,0,1,0
2,8.09677,0,1,0
25,8.09677,0,1,0
8,8.09677,0,1,0
2,8.09677,0,1,0
2,8.09677,0,1,0
25,8.03846,0,1,0
14,7.93213,0,1,0
14,7.77333,0,1,0
14,7.77333,0,1,0
23,7.648,0,1,0
23,7.648,0,1,0
5,5.77885,0,1,0
2,5.26667,0,1,0
2,5.26667,0,1,0
2,5.26667,0,1,0
2,5.26667,0,1,0
5,4.875,0,1,0
3,3.83429,0,1,0
3,3.23,0,1,0
3,0.990588,0,1,0
3,0.990588,0,1,0
3,0.914027,0,1,0
2,0.327059,0,1,0
2,0.327059,0,1,0
2,0.105882,0,1,0
2,0.105882,0,1,0
